ลำดับที่,มิติงบประมาณ,ประเภทงบประมาณ,หน่วยงานรับผิดชอบ,โครงการ,วงเงิน(ล้านบาท),ตำบล,อำเภอ,แผนแม่บทฯ,ปี,วงเงิน_ล้านบาท,รหัสแผนแม่บท,ชื่อแผนแม่บท,ชื่อย่อด้าน,ปีงบประมาณ,ช่วงปีงบประมาณ
458,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลยุหว่า อำเภอสันป่าตอง จังหวัดเชียงใหม่",0.206,ยุหว่า,สันป่าตอง,2.0,2566.0,0.206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
459,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลมะขุนหวาน อำเภอสันป่าตอง จังหวัดเชียงใหม่",0.0206,มะขุนหวาน,สันป่าตอง,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
460,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลมะขามหลวง อำเภอสันป่าตอง จังหวัดเชียงใหม่",0.0206,มะขามหลวง,สันป่าตอง,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
461,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลบ้านแม อำเภอสันป่าตอง จังหวัดเชียงใหม่",0.0206,บ้านแม,สันป่าตอง,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
462,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลน้ำบ่อหลวง อำเภอสันป่าตอง จังหวัดเชียงใหม่",0.0206,น้ำบ่อหลวง,สันป่าตอง,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
463,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่แฝก อำเภอสันทราย จังหวัดเชียงใหม่",0.2472,แม่แฝก,สันทราย,2.0,2566.0,0.2472,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
464,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลป่าไผ่ อำเภอสันทราย จังหวัดเชียงใหม่",0.0206,ป่าไผ่,สันทราย,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
465,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแสนไห อำเภอเวียงแหง จังหวัดเชียงใหม่",0.0824,แสนไห,เวียงแหง,2.0,2566.0,0.0824,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
466,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลเมืองแหง อำเภอเวียงแหง จังหวัดเชียงใหม่",0.1442,เมืองแหง,เวียงแหง,2.0,2566.0,0.1442,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
467,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลเปียงหลวง อำเภอเวียงแหง จังหวัดเชียงใหม่",0.0618,เปียงหลวง,เวียงแหง,2.0,2566.0,0.0618,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
468,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลสันต้นหมื้อ อำเภอแม่อาย จังหวัดเชียงใหม่",0.3708,สันต้นหมื้อ,แม่อาย,2.0,2566.0,0.3708,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
469,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่อาย อำเภอแม่อาย จังหวัดเชียงใหม่",0.3296,แม่อาย,แม่อาย,2.0,2566.0,0.3296,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
470,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่สาว อำเภอแม่อาย จังหวัดเชียงใหม่",0.206,แม่สาว,แม่อาย,2.0,2566.0,0.206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
471,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลมะลิกา อำเภอแม่อาย จังหวัดเชียงใหม่",0.0206,ท่าตอน,แม่อาย,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
472,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลบ้านหลวง อำเภอแม่อาย จังหวัดเชียงใหม่",0.3296,บ้านหลวง,แม่อาย,2.0,2566.0,0.3296,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
473,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่วิน อำเภอแม่วาง จังหวัดเชียงใหม่",0.6798,แม่วิน,แม่วาง,2.0,2566.0,0.6798,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
474,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลสะลวง อำเภอแม่ริม จังหวัดเชียงใหม่",0.0206,สะลวง,แม่ริม,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
475,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่นาจร อำเภอแม่แจ่ม จังหวัดเชียงใหม่",0.1442,แม่นาจร,แม่แจ่ม,2.0,2566.0,0.1442,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
476,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลท่าผา อำเภอแม่แจ่ม จังหวัดเชียงใหม่",0.0412,ท่าผา,แม่แจ่ม,2.0,2566.0,0.0412,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
477,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลช่างเคิ่ง อำเภอแม่แจ่ม จังหวัดเชียงใหม่",0.206,ช่างเคิ่ง,แม่แจ่ม,2.0,2566.0,0.206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
478,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลกองแขก อำเภอแม่แจ่ม จังหวัดเชียงใหม่",0.0412,กองแขก,แม่แจ่ม,2.0,2566.0,0.0412,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
479,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่เหียะ อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่",0.0206,แม่เหียะ,เมืองเชียงใหม่,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
480,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลท่าศาลา อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่",0.0206,ท่าศาลา,เมืองเชียงใหม่,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
481,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลโหล่งขอด อำเภอพร้าว จังหวัดเชียงใหม่",0.1648,โหล่งขอด,พร้าว,2.0,2566.0,0.1648,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
482,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลสันทราย อำเภอพร้าว จังหวัดเชียงใหม่",0.2472,สันทราย,พร้าว,2.0,2566.0,0.2472,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
483,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่แวน อำเภอพร้าว จังหวัดเชียงใหม่",0.1648,แม่แวน,พร้าว,2.0,2566.0,0.1648,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
484,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่ปั๋ง อำเภอพร้าว จังหวัดเชียงใหม่",0.103,แม่ปั๋ง,พร้าว,2.0,2566.0,0.103,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
485,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลน้ำแพร่ อำเภอพร้าว จังหวัดเชียงใหม่",0.1442,น้ำแพร่,พร้าว,2.0,2566.0,0.1442,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
486,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลสันทราย อำเภอฝาง จังหวัดเชียงใหม่",0.2266,สันทราย,ฝาง,2.0,2566.0,0.2266,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
487,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลเวียง อำเภอฝาง จังหวัดเชียงใหม่",0.1854,เวียง,ฝาง,2.0,2566.0,0.1854,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
488,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่สูน อำเภอฝาง จังหวัดเชียงใหม่",0.0206,แม่สูน,ฝาง,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
489,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่ข่า อำเภอฝาง จังหวัดเชียงใหม่",0.103,แม่ข่า,ฝาง,2.0,2566.0,0.103,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
490,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลม่อนปิ่น อำเภอฝาง จังหวัดเชียงใหม่",0.0412,ม่อนปิ่น,ฝาง,2.0,2566.0,0.0412,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
491,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลดอยหล่อ อำเภอดอยหล่อ จังหวัดเชียงใหม่",0.0618,ดอยหล่อ,ดอยหล่อ,2.0,2566.0,0.0618,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
492,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลบงตัน อำเภอดอยเต่า จังหวัดเชียงใหม่",0.0412,บงตัน,ดอยเต่า,2.0,2566.0,0.0412,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
493,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลดอยเต่า อำเภอดอยเต่า จังหวัดเชียงใหม่",0.0824,ดอยเต่า,ดอยเต่า,2.0,2566.0,0.0824,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
494,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลศรีดงเย็น อำเภอไชยปราการ จังหวัดเชียงใหม่",0.1648,ศรีดงเย็น,ไชยปราการ,2.0,2566.0,0.1648,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
495,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลปงตำ อำเภอไชยปราการ จังหวัดเชียงใหม่",0.0618,ปงตำ,ไชยปราการ,2.0,2566.0,0.0618,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
496,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลแม่นะ อำเภอเชียงดาว จังหวัดเชียงใหม่",0.0412,แม่นะ,เชียงดาว,2.0,2566.0,0.0412,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
497,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลเมืองนะ อำเภอเชียงดาว จังหวัดเชียงใหม่",0.0412,เมืองนะ,เชียงดาว,2.0,2566.0,0.0412,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
498,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลเมืองงาย อำเภอเชียงดาว จังหวัดเชียงใหม่",0.1854,เมืองงาย,เชียงดาว,2.0,2566.0,0.1854,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
499,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลปิงโค้ง อำเภอเชียงดาว จังหวัดเชียงใหม่",0.0206,ปิงโค้ง,เชียงดาว,2.0,2566.0,0.0206,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
500,Function,Function,กรมพัฒนาที่ดิน,"งานก่อสร้างแหล่งน้ำในไร่นานอกเขตชลประทาน ขนาด 1,260 ลูกบาศก์เมตร  ตำบลเชียงดาว อำเภอเชียงดาว จังหวัดเชียงใหม่",0.1442,เชียงดาว,เชียงดาว,2.0,2566.0,0.1442,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
501,Function,Function,กรมพัฒนาที่ดิน,ซ่อมแซมสระเก็บน้ำ บ้านใหม่หนองหอย หมู่ 6 ตำบลสันติสุข อำเภอดอยหล่อ จังหวัดเชียงใหม่,9.002,สันติสุข,ดอยหล่อ,2.0,2566.0,9.002,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
502,Function,Function,กรมชลประทาน,ซ่อมแซมฝายดักตะกอนแห่งที่ 3 จำนวน 1 แห่ง (ในเขตพื้นที่โครงการพัฒนาพื้นที่ป่าห้วยลานอันเนื่องมาจากพระราชดำริ),2.86,ออนใต้,สันกำแพง,2.0,2566.0,2.86,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
503,Function,Function,กรมชลประทาน,ซ่อมแซมอาคารระบายน้ำล้นและอาคารประกอบ อ่างเก็บน้ำห้วยฮ่องไคร้ 15 จำนวน 2 แห่ง,6.2,ป่าเมี่ยง,ดอยสะเก็ด,2.0,2566.0,6.2,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
504,Function,Function,กรมชลประทาน,ค่าใช้จ่ายศูนย์ศึกษาการพัฒนาห้วยฮ่องไคร้อันเนื่องมาจากพระราชดำริ,42.7972,ป่าเมี่ยง,ดอยสะเก็ด,2.0,2566.0,42.7972,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
505,Function,Function,กรมชลประทาน,โครงการพัฒนาพื้นที่ป่าขุนแม่กวงอันเนื่องมาจากพระราชดำริ,1.22,ป่าเมี่ยง,ดอยสะเก็ด,2.0,2566.0,1.22,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
506,Function,Function,กรมชลประทาน,บำรุงรักษาคลองส่งน้ำสายใหญ่และคลองซอยแม่แฝก ระยะทาง 122.051 กิโลเมตร โครงการส่งน้ำและบำรุงรักษาแม่แฝก-แม่งัดสมบูรณ์ชล,0.8623,แม่แฝก,สันทราย,2.0,2566.0,0.8623,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
507,Function,Function,กรมชลประทาน,ค่าดำเนินการสถานีอุทกวิทยาชลประทาน ศูนย์อุทกวิทยาชลประทานภาคเหนือตอนบน พ.ศ.2566,10.21,วัดเกต,เมืองเชียงใหม่,2.0,2566.0,10.21,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
508,Function,Function,กรมชลประทาน,ค่าจัดทำข้อมูลสารสนเทศอุทกวิทยาชลประทาน ศูนย์อุทกวิทยาชลประทานภาคเหนือตอนบน พ.ศ.2566,0.8895,วัดเกต,เมืองเชียงใหม่,2.0,2566.0,0.8895,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
509,Function,Function,กรมชลประทาน,ศึกษาค่าสัมประสิทธิ์การใช้น้ำของพืช จำนวน 1 พืช ส่วนการใช้น้ำชลประทาน เขตดุสิต กรุงเทพฯ พ.ศ.2566,0.28,ไม่ระบุ,แม่แตง,2.0,2566.0,0.28,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
510,Function,Function,กรมชลประทาน,ศึกษาปริมาณการใช้น้ำของสตรอว์เบอร์รี สถานีทดลองการใช้น้ำชลประทานที่ 1 (แม่แตง) พ.ศ.2566,0.254,สันมหาพน,แม่แตง,2.0,2566.0,0.254,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
511,Function,Function,กรมชลประทาน,การศึกษาค่าสัมประสิทธิ์การใช้น้ำของเขียวหวาน สถานีทดลองการใช้น้ำชลประทานที่ 1 (แม่แตง) พ.ศ.2566,0.4,สันมหาพน,แม่แตง,2.0,2566.0,0.4,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
512,Function,Function,กรมชลประทาน,ศึกษาเพื่อเพิ่มศักยภาพด้านการใช้น้ำชลประทานของพืช ภายใต้เกษตรทฤษฎีใหม่และเกษตรปลอดภัย ของสถานีทดลองการใช้น้ำชลประทานที่ 1 (แม่แตง) พ.ศ.2566,0.45,สันมหาพน,แม่แตง,2.0,2566.0,0.45,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
513,Function,Function,กรมชลประทาน,โครงการจัดทำระบบการเตรียมการเพื่อรับมือภัยน้ำท่วมในพื้นที่ชุมชนเมืองจังหวัดเชียงใหม่ (Flood Preparation System for Chiang Mai City) ศูนย์อุทกวิทยาชลประทานภาคเหนือตอนบน พ.ศ.2566,0.61,วัดเกต,เมืองเชียงใหม่,2.0,2566.0,0.61,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
514,Function,Function,กรมชลประทาน,ค่าดำเนินการสำรวจแผนที่ภาพถ่ายทางอากาศ ศูนย์อุทกวิทยาชลประทานภาคเหนือตอนบน พ.ศ.2566,0.2538,วัดเกต,เมืองเชียงใหม่,2.0,2566.0,0.2538,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
515,Function,Function,กรมชลประทาน,ค่าสำรวจตะกอน คุณภาพน้ำ และปริมาณน้ำในอ่างเก็บน้ำและในลำน้ำ ศูนย์อุทกวิทยาชลประทานภาคเหนือตอนบน พ.ศ.2566,1.187,วัดเกต,เมืองเชียงใหม่,2.0,2566.0,1.187,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
516,Function,Function,กรมชลประทาน,ค่าบำรุงรักษาสถานีโทรมาตรขนาดเล็ก ศูนย์อุทกวิทยาชลประทานภาคเหนือตอนบน พ.ศ.2566,2.5344,วัดเกต,เมืองเชียงใหม่,2.0,2566.0,2.5344,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
517,Function,Function,กรมชลประทาน,ค่าซ่อมบอร์ดดิจิตอล ศูนย์อุทกวิทยาชลประทานภาคเหนือตอนบน พ.ศ.2566,0.2,วัดเกต,เมืองเชียงใหม่,2.0,2566.0,0.2,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
518,Function,Function,กรมชลประทาน,ซ่อมแซมคูส่งน้ำ สถานีทดลองการใช้น้ำชลประทานที่ 1 (แม่แตง) พ.ศ. 2566,0.6,สันมหาพน,แม่แตง,2.0,2566.0,0.6,2,ด้านที่ 2 การสร้างความมั่นคงของน้ำภาคการผลิต,ด2_น้ำภาคการผลิต,2566,ระยะต้น (2565-2567)
